"1 _ 1",,,
"Time","Force","Stroke","Ext.1"
"sec","N","mm","mm"
"0","0,292937","0,0004333333","0"
"0,01","0,292937","0,005466667","0"
"0,02","0,2997716","0,01326667","0"
"0,03","0,3476143","0,02146667","-0,001"
"0,04","0,5243619","0,02983333","-0,007"
"0,05","0,9611447","0,03823333","-0,01"
"0,06","1,751423","0,0466","-0,01"
"0,07","2,867222","0,0549","-0,001"
"0,08","4,182974","0,06326666","0,003"
"0,09","5,571842","0,07153334","0,009000001"
"0,1","6,96516","0,07983334","0"
"0,11","8,340518","0,08813334","0,007"
"0,12","9,697597","0,0964","0,011"
"0,13","11,04689","0,1047667","0,018"
"0,14","12,39983","0,1131667","0,021"
"0,15","13,75564","0,1216","0,029"
"0,16","15,10398","0,1299333","0,021"
"0,17","16,43864","0,1382667","0,023"
"0,18","17,7633","0,1466667","0,03"
"0,19","19,08493","0,1549333","0,037"
"0,2","20,40497","0,1632","0,041"
"0,21","21,7185","0,1715","0,041"
"0,22","23,01979","0,1798","0,041"
"0,23","24,30884","0,1881333","0,049"
"0,24","25,59392","0,1965","0,051"
"0,25","26,87995","0,2049","0,059"
"0,26","28,16407","0,2132667","0,051"
"0,27","29,44454","0,2215667","0,058"
"0,28","30,72516","0,23","0,062"
"0,29","32,01135","0,2382333","0,07"
"0,3","33,30358","0,2465333","0,071"
"0,31","34,59803","0,2548333","0,071"
"0,32","35,88756","0,2631","0,071"
"0,33","37,16644","0,2715","0,08000001"
"0,34","38,43578","0,2798667","0,083"
"0,35","39,6959","0,2882667","0,081"
"0,36","40,9441","0,2966333","0,087"
"0,37","42,18372","0,3049333","0,09100001"
"0,38","43,42492","0,3133","0,09900001"
"0,39","44,67456","0,3215667","0,09900001"
"0,4","45,92864","0,3298667","0,1"
"0,41","47,17795","0,3381333","0,102"
"0,42","48,42027","0,3464667","0,109"
"0,43","49,66005","0,3548","0,112"
"0,44","50,90539","0,3631667","0,114"
"0,45","52,15915","0,3715667","0,115"
"0,46","53,41641","0,3799","0,121"
"0,47","54,67129","0,3882667","0,123"
"0,48","55,91933","0,3966667","0,13"
"0,49","57,15831","0,4049333","0,127"
"0,5","58,3833","0,4132333","0,132"
"0,51","59,59145","0,4215333","0,141"
"0,52","60,78736","0,4297667","0,143"
"0,53","61,97691","0,4381","0,143"
"0,54","63,16535","0,4464667","0,143"
"0,55","64,35585","0,4549","0,152"
"0,56","65,55001","0,4632667","0,155"
"0,57","66,7518","0,4716","0,155"
"0,58","67,96455","0,4799667","0,159"
"0,59","69,18669","0,4882333","0,162"
"0,6","70,41073","0,4965333","0,169"
"0,61","71,62952","0,5048333","0,172"
"0,62","72,84196","0,5131333","0,173"
"0,63","74,04471","0,5215","0,172"
"0,64","75,23425","0,5298333","0,181"
"0,65","76,41427","0,5382","0,184"
"0,66","77,59285","0,5466","0,192"
"0,67","78,77509","0,5549","0,193"
"0,68","79,96098","0,5632667","0,193"
"0,69","81,15069","0,5715667","0,2"
"0,7","82,34135","0,5798666","0,203"
"0,71","83,52868","0,5881667","0,211"
"0,72","84,7114","0,5964667","0,206"
"0,73","85,89363","0,6048","0,212"
"0,74","87,07491","0,6131667","0,215"
"0,75","88,25191","0,6215667","0,223"
"0,76","89,42429","0,6299334","0,224"
"0,77","90,59509","0,6382334","0,229"
"0,78","91,76254","0,6466","0,224"
"0,79","92,92253","0,6549","0,232"
"0,8","94,07218","0,6632","0,235"
"0,81","95,20849","0,6715","0,243"
"0,82","96,33144","0,6798","0,244"
"0,83","97,44772","0,6881667","0,244"
"0,84","98,56558","0,6964667","0,244"
"0,85","99,6879","0,7049","0,252"
"0,86","100,8158","0,7132334","0,254"
"0,87","101,9503","0,7215667","0,262"
"0,88","103,0908","0,7299333","0,257"
"0,89","104,2344","0,7382","0,264"
"0,9","105,3804","0,7465333","0,271"
"0,91","106,5281","0,7548333","0,274"
"0,92","107,6751","0,7631333","0,28"
"0,93","108,8174","0,7715","0,274"
"0,94","109,9504","0,7798667","0,282"
"0,95","111,0722","0,7882667","0,286"
"0,96","112,1866","0,7966","0,293"
"0,97","113,2997","0,8049334","0,3"
"0,98","114,4125","0,8133","0,297"
"0,99","115,5225","0,8215667","0,301"
"1","116,628","0,8298666","0,304"
"1,01","117,7274","0,8381667","0,313"
"1,02","118,8192","0,8465","0,317"
"1,03","119,9026","0,8548334","0,323"
"1,04","120,9804","0,8631667","0,318"
"1,05","122,0566","0,8715667","0,324"
"1,06","123,1356","0,8799334","0,329"
"1,07","124,2191","0,8882667","0,335"
"1,08","125,3044","0,8966","0,341"
"1,09","126,3828","0,9049","0,335"
"1,1","127,453","0,9132","0,342"
"1,11","128,5205","0,9215333","0,345"
"1,12","129,5859","0,9298","0,354"
"1,13","130,6456","0,9381334","0,355"
"1,14","131,6969","0,9465","0,359"
"1,15","132,7445","0,9549","0,356"
"1,16","133,7941","0,9632667","0,365"
"1,17","134,8515","0,9716","0,371"
"1,18","135,9185","0,9799667","0,376"
"1,19","136,9888","0,9882333","0,381"
"1,2","138,0571","0,9965333","0,376"
"1,21","139,1241","1,0048","0,382"
"1,22","140,1881","1,013133","0,386"
